,Steps,Energy @ 1.5,Energy @ 1.7,Energy @ 1.9,Energy @ 2.0999999999999996,Energy @ 2.3,Energy @ 2.5,Energy @ 2.6999999999999997,Energy @ 2.8999999999999995,Energy @ 3.0999999999999996,Energy @ 3.3
115,115058.41370685342,-1832.0,-1884.0,-1856.0,-1632.0,-1468.0,-1100.0,-916.0,-776.0,-724.0,-740.0
116,116058.91295647823,-1828.0,-1968.0,-1828.0,-1632.0,-1508.0,-1024.0,-980.0,-752.0,-820.0,-788.0
117,117059.41220610305,-1824.0,-1992.0,-1844.0,-1660.0,-1440.0,-1028.0,-996.0,-712.0,-708.0,-696.0
118,118059.91145572785,-1824.0,-1980.0,-1864.0,-1576.0,-1452.0,-1044.0,-1028.0,-860.0,-700.0,-692.0
119,119060.41070535267,-1832.0,-1988.0,-1768.0,-1592.0,-1472.0,-1168.0,-984.0,-840.0,-760.0,-636.0
120,120060.90995497748,-1816.0,-1968.0,-1804.0,-1584.0,-1484.0,-1152.0,-880.0,-860.0,-712.0,-684.0
121,121061.4092046023,-1800.0,-2000.0,-1848.0,-1620.0,-1472.0,-1124.0,-984.0,-832.0,-864.0,-696.0
122,122061.90845422712,-1788.0,-1976.0,-1884.0,-1560.0,-1460.0,-1112.0,-956.0,-848.0,-932.0,-752.0
123,123062.40770385192,-1784.0,-1980.0,-1872.0,-1628.0,-1388.0,-1128.0,-976.0,-828.0,-820.0,-752.0
124,124062.90695347673,-1804.0,-1984.0,-1836.0,-1632.0,-1448.0,-1128.0,-1060.0,-828.0,-864.0,-772.0
125,125063.40620310155,-1796.0,-1980.0,-1860.0,-1712.0,-1504.0,-1208.0,-960.0,-896.0,-900.0,-756.0
126,126063.90545272635,-1832.0,-1968.0,-1852.0,-1684.0,-1520.0,-1124.0,-1008.0,-948.0,-772.0,-788.0
127,127064.40470235117,-1832.0,-1952.0,-1904.0,-1688.0,-1540.0,-1228.0,-920.0,-872.0,-696.0,-744.0
